"","Domain","Phylum","Class","Order","Family","Genus","SIP1","SIP2","SIP3","SIP4","SIP5","SIP6","SIP7","SIP8","SIP9","SIP10","SIP11","SIP12","SIP13","SIP14","SIP15","SIP16","SIP17","SIP18"
"162","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Veillonella",0,0,0,0,0,0,152.372860719246,8.20843459149864,0,0,0,0,0,0,4.66977286003277,0,0,0
"163","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Hymenobacter",6.21507393316699,0,0,0,0,0,0,0,78.0516010361863,0,0,0,0,0,0,1.39734781111511,0,0
"168","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dietziaceae","Dietzia",0,0,0,0,0,0,0,0,11.7077401554279,0,0.455073526137118,0,0,0.69392419783882,0,0.698673905557557,0,128.50826827636
"169","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Lutibacterium",7.45808871980039,0,0,0,0,0,0,0,39.0258005180931,0,0,0,0,0.69392419783882,0,0.698673905557557,0,0
"177","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium",0,0,0,0,289.107176081052,6.53549594918908,0,0,0,0,0,0,8.2039546629679,0,0,0,0,0
"179","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfosporosinus",0,0,0,0,12.9065703607613,7.8425951390269,394.536871505191,11.232594704156,0,0,0,7.83144716588766,0,0,10.8961366734098,0.698673905557557,0,0
"181","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Cellvibrio",0,0,0,0,5.1626281443045,10.4567935187025,0,0.432022873236771,0,0,0,7.83144716588766,0,0,0,0,0,696.305004640278
"182","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans",0,0,0,0,0,0,221.756931225332,4.75225160560448,0,0,0,0,0,0,3.11318190668851,2.09602171667267,0,0
"183","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Aliivibrio",47.2345618920692,48.7072814466941,49.0940105062774,46.958648855183,46.4636532987405,50.9768684036748,48.976990945472,50.9786990419389,46.8309606217118,46.7753339849409,47.7827202443974,46.9886829953259,96.8066650230212,47.1868454530398,49.8109105070162,47.5098255779139,46.3131744149889,53.7636632584772
"186","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",0,638.729577153239,2.31575521256026,0,0,3.92129756951345,0,0,0,0,53.6986760841799,1.74032159241948,3.28158186518716,0,0,0,0,0
"189","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga",0,0,0,0,0,562.052651630261,1.36047197070756,3.02416011265739,0,0,0,0,0,0.69392419783882,0,0,0,0
"190","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Dyadobacter",0,0,0,0,0,2.61419837967563,0,0,0,0,1.36522057841135,0,0,54.126087431428,0,3.49336952778779,0,0
"192","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium",0,0,0,0,214.249067988637,10.4567935187025,0,0,0,0,0,0,6.56316373037432,0,0,0,0,0
"198","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Magnetospirillum",0,0,0,0,0,1.30709918983782,0,2.16011436618385,0,0,10.9217646272908,3.48064318483896,11.4855365281551,0,0,1067.57372769195,0,0
"199","Bacteria","Spirochaetes","[Leptospirae]","[Leptospirales]","Leptospiraceae","Leptospira",0,85.2377425317147,1.38945312753615,0,2.58131407215225,0,8.16283182424533,0,0,0,0,0,0,0,0,0,0,0
"201","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas",0,0,0,0,0,1.30709918983782,0,290.31937081511,0,0,0,0,0,0,0,13.9734781111511,0,0
"204","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter",0,0,0,0,152.297530256983,3.92129756951345,1.36047197070756,0,0,0,0,0,3.28158186518716,0,0,0,0,0
"212","Bacteria","Planctomycetes","Planctomycetia","Pirellulales","Pirellulaceae","A17",0,0,0,0,0,0,39.4536871505191,1.29606861971031,0,0,0,0,0,0,3.11318190668851,0,0,0
"222","Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","Opitutus",0,0,0,0,0,0,134.686725100048,3.88820585913093,0,0,0,0,0,0,3.11318190668851,0,0,428.797997207855
"226","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Pedomicrobium",0,19.9257060463749,1.38945312753615,0,389.77842489499,49.669769213837,1.36047197070756,3.02416011265739,0,0,0,0,19.689491191123,0,0,0,0,0
